wl (nm)	EQE (%)
5.490000e+02	6.354100e+01
5.500000e+02	6.356765e+01
5.510000e+02	6.363045e+01
5.520000e+02	6.369325e+01
5.530000e+02	6.375604e+01
5.540000e+02	6.381884e+01
5.550000e+02	6.388164e+01
5.560000e+02	6.392181e+01
5.570000e+02	6.396198e+01
5.580000e+02	6.400215e+01
5.590000e+02	6.404231e+01
5.600000e+02	6.408248e+01
5.610000e+02	6.411395e+01
5.620000e+02	6.414542e+01
5.630000e+02	6.417689e+01
5.640000e+02	6.420836e+01
5.650000e+02	6.423983e+01
5.660000e+02	6.420897e+01
5.670000e+02	6.417811e+01
5.680000e+02	6.414726e+01
5.690000e+02	6.411640e+01
5.700000e+02	6.408555e+01
5.710000e+02	6.410973e+01
5.720000e+02	6.413391e+01
5.730000e+02	6.415809e+01
5.740000e+02	6.418227e+01
5.750000e+02	6.420645e+01
5.760000e+02	6.418332e+01
5.770000e+02	6.416020e+01
5.780000e+02	6.413707e+01
5.790000e+02	6.411395e+01
5.800000e+02	6.409082e+01
5.810000e+02	6.413571e+01
5.820000e+02	6.418059e+01
5.830000e+02	6.422548e+01
5.840000e+02	6.427037e+01
5.850000e+02	6.431525e+01
5.860000e+02	6.432114e+01
5.870000e+02	6.432702e+01
5.880000e+02	6.433290e+01
5.890000e+02	6.433878e+01
5.900000e+02	6.434467e+01
5.910000e+02	6.436114e+01
5.920000e+02	6.437762e+01
5.930000e+02	6.439409e+01
5.940000e+02	6.441056e+01
5.950000e+02	6.442704e+01
5.960000e+02	6.445291e+01
5.970000e+02	6.447877e+01
5.980000e+02	6.450464e+01
5.990000e+02	6.453050e+01
6.000000e+02	6.455637e+01
6.010000e+02	6.448302e+01
6.020000e+02	6.440968e+01
6.030000e+02	6.433633e+01
6.040000e+02	6.426298e+01
6.050000e+02	6.418963e+01
6.060000e+02	6.423719e+01
6.070000e+02	6.428475e+01
6.080000e+02	6.433231e+01
6.090000e+02	6.437988e+01
6.100000e+02	6.442744e+01
6.110000e+02	6.443273e+01
6.120000e+02	6.443803e+01
6.130000e+02	6.444333e+01
6.140000e+02	6.444862e+01
6.150000e+02	6.445392e+01
6.160000e+02	6.450085e+01
6.170000e+02	6.454778e+01
6.180000e+02	6.459471e+01
6.190000e+02	6.464164e+01
6.200000e+02	6.468857e+01
6.210000e+02	6.468587e+01
6.220000e+02	6.468318e+01
6.230000e+02	6.468048e+01
6.240000e+02	6.467779e+01
6.250000e+02	6.467509e+01
6.260000e+02	6.468021e+01
6.270000e+02	6.468533e+01
6.280000e+02	6.469045e+01
6.290000e+02	6.469556e+01
6.300000e+02	6.470068e+01
6.310000e+02	6.469421e+01
6.320000e+02	6.468775e+01
6.330000e+02	6.468128e+01
6.340000e+02	6.467481e+01
6.350000e+02	6.466835e+01
6.360000e+02	6.471483e+01
6.370000e+02	6.476131e+01
6.380000e+02	6.480780e+01
6.390000e+02	6.485428e+01
6.400000e+02	6.490076e+01
6.410000e+02	6.489501e+01
6.420000e+02	6.488927e+01
6.430000e+02	6.488352e+01
6.440000e+02	6.487777e+01
6.450000e+02	6.487202e+01
6.460000e+02	6.485339e+01
6.470000e+02	6.483475e+01
6.480000e+02	6.481612e+01
6.490000e+02	6.479748e+01
6.500000e+02	6.477885e+01
6.510000e+02	6.483826e+01
6.520000e+02	6.489767e+01
6.530000e+02	6.495708e+01
6.540000e+02	6.501650e+01
6.550000e+02	6.507591e+01
6.560000e+02	6.512181e+01
6.570000e+02	6.516772e+01
6.580000e+02	6.521362e+01
6.590000e+02	6.525952e+01
6.600000e+02	6.530543e+01
6.610000e+02	6.522868e+01
6.620000e+02	6.515193e+01
6.630000e+02	6.507518e+01
6.640000e+02	6.499844e+01
6.650000e+02	6.492169e+01
6.660000e+02	6.490731e+01
6.670000e+02	6.489293e+01
6.680000e+02	6.487854e+01
6.690000e+02	6.486416e+01
6.700000e+02	6.484978e+01
6.710000e+02	6.482332e+01
6.720000e+02	6.479686e+01
6.730000e+02	6.477041e+01
6.740000e+02	6.474395e+01
6.750000e+02	6.471749e+01
6.760000e+02	6.474516e+01
6.770000e+02	6.477282e+01
6.780000e+02	6.480049e+01
6.790000e+02	6.482815e+01
6.800000e+02	6.485582e+01
6.810000e+02	6.486897e+01
6.820000e+02	6.488213e+01
6.830000e+02	6.489529e+01
6.840000e+02	6.490844e+01
6.850000e+02	6.492160e+01
6.860000e+02	6.494722e+01
6.870000e+02	6.497284e+01
6.880000e+02	6.499846e+01
6.890000e+02	6.502408e+01
6.900000e+02	6.504970e+01
6.910000e+02	6.503754e+01
6.920000e+02	6.502538e+01
6.930000e+02	6.501322e+01
6.940000e+02	6.500106e+01
6.950000e+02	6.498890e+01
6.960000e+02	6.492170e+01
6.970000e+02	6.485450e+01
6.980000e+02	6.478729e+01
6.990000e+02	6.472009e+01
7.000000e+02	6.465288e+01
7.010000e+02	6.464553e+01
7.020000e+02	6.463818e+01
7.030000e+02	6.463083e+01
7.040000e+02	6.462348e+01
7.050000e+02	6.461613e+01
7.060000e+02	6.466058e+01
7.070000e+02	6.470504e+01
7.080000e+02	6.474949e+01
7.090000e+02	6.479395e+01
7.100000e+02	6.483840e+01
7.110000e+02	6.487224e+01
7.120000e+02	6.490607e+01
7.130000e+02	6.493990e+01
7.140000e+02	6.497374e+01
7.150000e+02	6.500757e+01
7.160000e+02	6.496246e+01
7.170000e+02	6.491736e+01
7.180000e+02	6.487225e+01
7.190000e+02	6.482714e+01
7.200000e+02	6.478204e+01
7.210000e+02	6.480830e+01
7.220000e+02	6.483456e+01
7.230000e+02	6.486083e+01
7.240000e+02	6.488709e+01
7.250000e+02	6.491335e+01
7.260000e+02	6.489360e+01
7.270000e+02	6.487385e+01
7.280000e+02	6.485410e+01
7.290000e+02	6.483435e+01
7.300000e+02	6.481460e+01
7.310000e+02	6.479834e+01
7.320000e+02	6.478208e+01
7.330000e+02	6.476582e+01
7.340000e+02	6.474956e+01
7.350000e+02	6.473330e+01
7.360000e+02	6.473398e+01
7.370000e+02	6.473467e+01
7.380000e+02	6.473535e+01
7.390000e+02	6.473603e+01
7.400000e+02	6.473671e+01
7.410000e+02	6.476286e+01
7.420000e+02	6.478901e+01
7.430000e+02	6.481516e+01
7.440000e+02	6.484131e+01
7.450000e+02	6.486745e+01
7.460000e+02	6.481824e+01
7.470000e+02	6.476903e+01
7.480000e+02	6.471982e+01
7.490000e+02	6.467061e+01
7.500000e+02	6.462139e+01
7.510000e+02	6.464145e+01
7.520000e+02	6.466151e+01
7.530000e+02	6.468157e+01
7.540000e+02	6.470163e+01
7.550000e+02	6.472169e+01
7.560000e+02	6.472145e+01
7.570000e+02	6.472120e+01
7.580000e+02	6.472096e+01
7.590000e+02	6.472071e+01
7.600000e+02	6.472047e+01
